match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,rad_pos1_gold,rad_pos2_gold,rad_pos3_gold,rad_pos4_gold,rad_pos5_gold,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,dire_pos1_gold,dire_pos2_gold,dire_pos3_gold,dire_pos4_gold,dire_pos5_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner
7517420109,80,70,23,63,100,"[0, 245, 482, 901, 1226, 1720, 2196, 2613, 3126, 3656, 4014, 4528, 4977, 5336, 5917, 6395, 6848, 7327, 8373, 9297, 10054, 10486, 11137, 11806, 12258, 13003, 13464, 14271, 14624, 15204]","[0, 243, 397, 859, 1111, 1554, 2117, 2596, 3049, 3540, 4104, 4610, 5209, 5650, 6235, 6793, 7770, 8486, 9295, 10298, 10943, 11802, 12722, 13446, 14602, 15606, 16768, 17948, 18379, 19010]","[0, 244, 633, 916, 1375, 1957, 2416, 2835, 3416, 3789, 4416, 4825, 5508, 6145, 6524, 6690, 7507, 8147, 9165, 9953, 11042, 11517, 12034, 12808, 13348, 13837, 13932, 14948, 15537, 15842]","[0, 216, 331, 513, 649, 779, 914, 1004, 1219, 1309, 1756, 2115, 2559, 2654, 2798, 2893, 3194, 3554, 3854, 4275, 4622, 4716, 5056, 5330, 5425, 5519, 5908, 6349, 6625, 6852]","[0, 170, 331, 421, 511, 885, 1020, 1110, 1408, 1498, 1643, 1842, 2223, 2488, 2628, 2760, 2900, 3449, 3749, 4039, 4386, 4528, 4740, 4873, 5000, 5293, 5426, 6189, 6285, 6428]",15204,19010,15842,6852,6428,2,25,17,45,110,"[0, 209, 581, 1066, 1871, 2316, 3128, 3595, 4274, 4660, 5366, 6146, 6956, 8281, 9055, 10054, 10649, 11486, 12422, 12984, 13647, 14371, 14628, 15214, 16040, 17042, 17702, 17988, 18976, 19709]","[0, 170, 410, 740, 1025, 1332, 1593, 1938, 2183, 2739, 3308, 3845, 4458, 5380, 6276, 6947, 7714, 8515, 9174, 10029, 11021, 11688, 12988, 13825, 14583, 15598, 16771, 18200, 19295, 20270]","[0, 313, 606, 767, 1056, 1285, 1531, 1977, 2372, 2805, 3283, 3798, 4333, 4945, 5429, 5994, 6894, 7373, 8178, 8491, 8979, 9774, 10318, 10974, 11650, 12444, 13442, 14205, 14984, 15431]","[0, 170, 260, 350, 549, 639, 774, 1002, 1223, 1387, 1738, 2038, 2151, 2682, 2866, 3249, 3682, 4207, 4419, 4725, 5357, 5526, 5982, 6224, 6504, 7371, 7757, 8423, 9014, 9569]","[0, 270, 411, 501, 591, 681, 816, 996, 1086, 1424, 1728, 2084, 2222, 2614, 2798, 3738, 3975, 4389, 4758, 5093, 5492, 5769, 6060, 6227, 6634, 7233, 7544, 7974, 8427, 8651]",19709,20270,15431,9569,8651,-4505,-1260,411,-2717,-2223,-10294,30,radiant
7517437309,10,104,19,45,64,"[0, 197, 439, 738, 1066, 1445, 2121, 2750, 3379, 3855, 4435, 4961, 5608, 6047, 6944, 7509, 8094, 8821, 9614, 10307, 11283, 12202, 12790, 14081, 14901, 15597, 16710, 17398, 17568, 18107]","[0, 290, 549, 944, 1402, 1785, 2309, 2676, 3152, 3554, 4027, 4319, 4878, 5442, 5849, 6219, 6536, 7560, 8085, 8727, 9323, 9891, 10151, 11688, 12305, 13009, 13607, 14232, 14328, 14644]","[0, 256, 589, 718, 1033, 1536, 1798, 2094, 2630, 2720, 3508, 4073, 4657, 5176, 5584, 5679, 6703, 7381, 8259, 8667, 9032, 9127, 9489, 10864, 11248, 11522, 11953, 12406, 12941, 13464]","[0, 173, 263, 742, 832, 969, 1207, 1400, 1688, 1830, 2022, 2345, 2698, 2984, 3521, 3616, 4229, 4697, 5113, 5504, 5891, 6219, 6575, 6912, 7304, 7703, 8320, 8641, 8829, 9291]","[0, 129, 219, 357, 496, 631, 721, 855, 990, 1080, 1358, 1448, 1701, 1962, 2260, 2355, 2719, 2814, 3679, 3836, 4425, 4720, 5130, 5224, 5454, 5549, 6474, 7003, 7229, 7567]",18107,14644,13464,9291,7567,7,67,53,71,102,"[0, 356, 826, 1268, 1545, 2033, 2482, 2857, 3265, 3841, 4145, 4632, 5162, 6245, 6690, 7219, 7897, 8298, 9388, 10404, 11069, 11978, 12681, 13426, 14465, 15669, 16516, 18273, 18986, 20010]","[0, 282, 483, 803, 1085, 1413, 1801, 2196, 2865, 3306, 4158, 4378, 4743, 5136, 5570, 6396, 7057, 7487, 8449, 9117, 9555, 9946, 10896, 11262, 11740, 13195, 14063, 15356, 15840, 17717]","[0, 246, 523, 1224, 1556, 1724, 1853, 2033, 2369, 2722, 3084, 3298, 3470, 4161, 4643, 5202, 5632, 5819, 6326, 6585, 7500, 8177, 8881, 9383, 9810, 10706, 11229, 11956, 12371, 13749]","[0, 209, 299, 684, 818, 948, 1038, 1218, 1353, 1543, 1925, 2015, 2226, 2457, 2700, 2878, 3362, 3866, 4472, 5088, 5540, 6034, 6712, 6879, 7938, 8714, 9139, 9651, 10041, 10728]","[0, 209, 299, 435, 606, 815, 1015, 1243, 1458, 1606, 1943, 2033, 2413, 2803, 3026, 3504, 4109, 4204, 4490, 4953, 5712, 6121, 6631, 6725, 6820, 7388, 7593, 8438, 8690, 9513]",20010,17717,13749,10728,9513,-1903,-3073,-285,-1437,-1946,-8644,30,dire
7517480603,1,33,11,100,30,"[0, 242, 587, 827, 1334, 1784, 2217, 3051, 3456, 3867, 4618, 5183, 5810, 6431, 7209, 7788, 8620, 8968, 9737, 10920, 12297, 12981, 13531, 14827, 15643, 16167, 16920, 18399, 20572, 21251]","[0, 244, 898, 1268, 1718, 2173, 2632, 3024, 3418, 4234, 4879, 5331, 5828, 6160, 6843, 7419, 7960, 8999, 9427, 10380, 10677, 11496, 11630, 12029, 12443, 12647, 12955, 13696, 14972, 15468]","[0, 289, 454, 837, 1306, 1601, 1904, 2157, 2694, 3889, 4419, 4813, 5453, 5963, 6734, 7084, 7453, 7891, 8342, 8728, 9100, 9660, 10544, 10991, 11205, 11405, 11690, 12105, 13097, 13644]","[0, 169, 325, 415, 535, 670, 805, 895, 985, 1325, 1588, 1754, 1998, 2093, 2371, 2676, 3150, 3630, 3850, 4523, 5313, 5761, 6177, 6536, 6881, 6976, 7166, 7306, 7994, 8225]","[0, 169, 259, 349, 518, 652, 834, 1089, 1179, 1314, 1854, 2238, 2433, 2566, 2771, 3040, 3553, 3648, 3792, 4131, 4673, 5087, 5182, 5612, 6157, 6439, 6609, 6837, 7199, 7639]",21251,15468,13644,8225,7639,44,19,57,21,5,"[0, 242, 515, 1000, 1337, 1662, 2086, 2452, 2711, 3036, 3574, 4068, 4617, 5042, 5637, 6121, 6842, 7882, 8718, 9586, 10694, 11102, 12188, 12963, 14956, 15816, 16879, 18687, 18783, 19405]","[0, 278, 550, 1004, 1410, 1826, 2182, 2642, 2732, 2945, 3557, 3979, 4783, 5253, 5659, 7164, 8498, 8941, 9198, 9738, 10283, 11605, 12211, 12305, 13340, 13883, 14997, 16133, 16351, 16447]","[0, 204, 490, 765, 1059, 1351, 1713, 1803, 2490, 2866, 3172, 3426, 3859, 4598, 5180, 6259, 6417, 7581, 8030, 8326, 8645, 9519, 10034, 10968, 11270, 11698, 12162, 13035, 13131, 13682]","[0, 169, 398, 488, 625, 759, 945, 1035, 1125, 1476, 1746, 1836, 2072, 2644, 3095, 3335, 4037, 4686, 4866, 5023, 5911, 6632, 7078, 7621, 8060, 8920, 9728, 10183, 10834, 11575]","[0, 169, 259, 395, 533, 623, 773, 923, 1049, 1139, 1409, 1499, 1700, 2073, 2296, 2444, 2602, 2945, 3084, 3241, 3883, 4092, 4259, 4504, 4659, 4826, 5187, 5566, 5678, 5774]",19405,16447,13682,11575,5774,1846,-979,-38,-3350,1865,-656,30,radiant
7517586007,46,42,97,50,86,"[0, 205, 463, 746, 1132, 1436, 2130, 2573, 2948, 3718, 4211, 4888, 5658, 5752, 6468, 7653, 7962, 8641, 9989, 10785, 11520, 12630, 13511, 14759, 16136, 16632, 16727, 17468, 18039, 20325]","[0, 223, 526, 1060, 1398, 1820, 2422, 2597, 2906, 3324, 4037, 4355, 4829, 5488, 5912, 6451, 6889, 7340, 7845, 8196, 8663, 9504, 10346, 11098, 11884, 12808, 14042, 14511, 14742, 15813]","[0, 173, 500, 818, 981, 1405, 2047, 2400, 3229, 3728, 4450, 5242, 5604, 6033, 6536, 6949, 7519, 7787, 8474, 8632, 8857, 9215, 9420, 9830, 10160, 10595, 11193, 11803, 12175, 12849]","[0, 356, 689, 992, 1130, 1548, 2128, 2339, 2584, 2825, 3064, 3265, 3628, 3722, 3871, 4317, 4574, 4977, 5189, 5554, 5648, 5851, 6684, 7020, 7353, 7590, 7685, 7908, 8139, 9130]","[0, 169, 259, 395, 564, 762, 947, 1134, 1378, 1859, 2279, 2417, 2653, 2803, 3133, 3612, 3933, 4247, 5069, 5461, 5590, 5948, 6392, 6559, 6729, 6997, 7092, 7315, 7613, 7828]",20325,15813,12849,9130,7828,22,29,71,14,26,"[0, 405, 687, 1095, 1538, 1792, 2021, 2651, 3174, 3539, 4088, 4354, 4744, 5525, 5875, 6498, 7168, 7451, 8231, 9421, 10273, 11154, 11705, 11890, 13081, 14731, 15465, 16647, 17217, 18901]","[0, 616, 865, 1199, 1661, 1957, 2278, 3006, 3441, 3621, 4143, 4233, 5369, 6024, 6695, 7327, 7713, 8214, 8568, 9047, 9958, 10423, 11081, 11266, 11864, 12787, 13927, 14103, 14620, 15242]","[0, 210, 348, 487, 912, 1193, 1328, 1756, 2342, 2564, 3228, 3370, 4225, 5159, 5732, 5917, 6359, 7046, 7750, 8069, 8949, 9666, 10105, 10542, 10836, 11865, 12137, 13036, 13527, 13762]","[0, 328, 526, 798, 1306, 1670, 1985, 2415, 2915, 3466, 3978, 4317, 5107, 6027, 6306, 6600, 7171, 7393, 7739, 8646, 8842, 9686, 9893, 10254, 10790, 11585, 11862, 12262, 13044, 13461]","[0, 268, 358, 587, 762, 852, 1072, 1388, 1478, 1568, 1703, 1793, 2059, 2606, 2701, 3094, 3298, 3393, 3955, 4607, 4800, 5283, 5520, 6003, 6245, 6743, 7093, 7282, 7734, 8151]",18901,15242,13762,13461,8151,1424,571,-913,-4331,-323,-3572,30,radiant
7519064617,6,25,129,7,84,"[0, 216, 378, 775, 1220, 1590, 2038, 2676, 3186, 3650, 4107, 4562, 5056, 5555, 6296, 6892, 7494, 8173, 8859, 10370, 11927, 12447, 13574, 14875, 16597, 17558, 18757, 19751, 20457, 22256]","[0, 367, 644, 1020, 1309, 1627, 2120, 2645, 3162, 3532, 3777, 4143, 4698, 5175, 5892, 6387, 7198, 7743, 8580, 8912, 10247, 11394, 12145, 13035, 15377, 16223, 16517, 17586, 19738, 21293]","[0, 251, 503, 790, 1040, 1377, 1818, 2468, 2914, 3751, 4216, 4592, 5160, 5370, 5750, 6118, 6592, 6752, 7548, 7867, 8724, 9180, 9540, 9770, 10250, 10556, 10898, 11146, 12126, 13053]","[0, 169, 259, 349, 439, 529, 663, 978, 1117, 1289, 1574, 1709, 2241, 2584, 2787, 3096, 3383, 3807, 4193, 4350, 5230, 5429, 5614, 6053, 6474, 6833, 7127, 7375, 7869, 8909]","[0, 169, 259, 446, 536, 672, 811, 1125, 1215, 1305, 1444, 1583, 1673, 1768, 1971, 2065, 2513, 2673, 2768, 2925, 3356, 3772, 4188, 4418, 4695, 4925, 5266, 5361, 5855, 6386]",22256,21293,13053,8909,6386,104,101,44,53,85,"[0, 368, 728, 1261, 1672, 2021, 2465, 2816, 3352, 3908, 4347, 4904, 5479, 6088, 6571, 7464, 8127, 8424, 9426, 10490, 10585, 11610, 11988, 12587, 12682, 13767, 14429, 15990, 16815, 16911]","[0, 316, 708, 1074, 1488, 1926, 2416, 2794, 3213, 3716, 4510, 5001, 5469, 5879, 6419, 7057, 7575, 8707, 9098, 9463, 10176, 10500, 11211, 12409, 12687, 13813, 14324, 15338, 16015, 16111]","[0, 354, 679, 1008, 1347, 1694, 1858, 2105, 2485, 3055, 3397, 3890, 4364, 4890, 5272, 5656, 6337, 6895, 7719, 7876, 8710, 9100, 9765, 10606, 10812, 11527, 11750, 13480, 14479, 14575]","[0, 244, 334, 424, 560, 650, 740, 902, 1090, 1364, 1630, 1950, 2429, 2759, 3085, 3658, 4102, 4421, 4858, 5413, 6222, 6317, 7039, 7671, 8066, 8667, 9321, 9650, 10123, 10410]","[0, 244, 334, 471, 599, 689, 826, 983, 1084, 1196, 1296, 1697, 1787, 1996, 2091, 2318, 2594, 3011, 3155, 3516, 3686, 4244, 4646, 5106, 5276, 5716, 5885, 6583, 7226, 7397]",16911,16111,14575,10410,7397,5345,5182,-1522,-1501,-1011,6493,30,radiant
7519118314,53,10,20,136,51,"[0, 250, 378, 653, 1061, 1371, 1809, 2009, 2504, 2909, 3633, 4609, 4871, 5506, 5910, 6332, 7103, 7803, 8659, 9407, 9838, 11044, 11523, 11715, 12567, 13391, 14057, 15242, 16241, 16513]","[0, 291, 568, 865, 1278, 1721, 2135, 2419, 3015, 3438, 4120, 4761, 5247, 5897, 6445, 6612, 7935, 8931, 9392, 9549, 10334, 11280, 11561, 11731, 12167, 12576, 12973, 13642, 13879, 13975]","[0, 239, 368, 723, 1136, 1958, 2287, 2538, 3248, 3515, 3823, 4397, 4870, 5478, 5961, 6191, 6754, 7282, 7930, 8087, 8638, 8993, 9271, 9365, 9795, 10082, 10339, 10532, 11089, 12082]","[0, 230, 320, 410, 592, 859, 1012, 1102, 1603, 1783, 2109, 2537, 2786, 3051, 3146, 3240, 3791, 4138, 4634, 4791, 5175, 5531, 5698, 5792, 6069, 6436, 6603, 6845, 7223, 7992]","[0, 429, 519, 624, 762, 892, 982, 1072, 1236, 1656, 1881, 2214, 2304, 2681, 2776, 2870, 3208, 3616, 4115, 4272, 4455, 4846, 5160, 5329, 5499, 5836, 6078, 6398, 6840, 7221]",16513,13975,12082,7992,7221,48,80,23,112,83,"[0, 209, 450, 657, 851, 1013, 1223, 1708, 1934, 2239, 2655, 2993, 3380, 3974, 4735, 5564, 6105, 6408, 7106, 7887, 8457, 8990, 9649, 10800, 11510, 12298, 13270, 14103, 14996, 15425]","[0, 283, 519, 754, 1151, 1543, 1895, 2243, 2471, 2818, 3231, 3726, 4054, 4594, 5065, 5638, 6187, 6778, 7387, 8250, 8376, 8549, 9108, 10143, 10589, 11168, 11726, 12299, 13283, 15128]","[0, 243, 515, 768, 1050, 1339, 1854, 2438, 2895, 3453, 4263, 4923, 5538, 6159, 6548, 7133, 7828, 8157, 8839, 9794, 10298, 10774, 11284, 12328, 12771, 13037, 13311, 13792, 14613, 16071]","[0, 209, 299, 471, 611, 763, 932, 1022, 1418, 1508, 1839, 2087, 2177, 2794, 2969, 3316, 3411, 3601, 3913, 4647, 5162, 5438, 5706, 6496, 7122, 7716, 8266, 8871, 9312, 9408]","[0, 209, 299, 441, 561, 688, 813, 1142, 1232, 1358, 1794, 2004, 2094, 2382, 2571, 2869, 2964, 3225, 3949, 4357, 4482, 4829, 5377, 6060, 6276, 6654, 6977, 7283, 7735, 8399]",15425,15128,16071,9408,8399,1088,-1153,-3989,-1416,-1178,-6648,30,dire
7519175015,54,14,96,5,79,"[0, 217, 612, 1047, 1568, 2083, 2758, 3014, 3646, 4211, 4809, 5524, 6269, 7004, 7759, 8602, 9356, 10011, 10590, 11638, 12640, 12734, 13527, 14902, 16618, 17497, 18554, 20361, 20960, 22012]","[0, 250, 871, 1656, 2116, 2874, 3311, 3943, 4470, 5191, 5690, 6320, 7167, 7826, 8472, 9109, 10023, 11333, 11780, 12845, 13705, 14845, 15012, 15789, 15884, 16516, 17247, 18147, 18658, 19140]","[0, 243, 543, 985, 1347, 1747, 2148, 2559, 3069, 3460, 4198, 4764, 5069, 5256, 5771, 6323, 7066, 7832, 8414, 9017, 9353, 9633, 10537, 10832, 11250, 11895, 12543, 13297, 13636, 14079]","[0, 130, 316, 454, 897, 1087, 1328, 1621, 1813, 2139, 2394, 2720, 2989, 3250, 3536, 3811, 4491, 4903, 5023, 5355, 5616, 5943, 6334, 6502, 6832, 7345, 7774, 8457, 8678, 8819]","[0, 130, 220, 358, 544, 682, 772, 907, 1086, 1220, 1310, 1503, 2006, 2318, 2413, 2762, 3010, 3456, 3752, 4003, 4365, 4588, 5137, 5489, 5584, 5966, 6363, 6981, 7202, 7298]",22012,19140,14079,8819,7298,10,17,2,88,20,"[0, 326, 618, 962, 1215, 1725, 2141, 2648, 3175, 3749, 4481, 4873, 5498, 6434, 7018, 7778, 8238, 8456, 9097, 9748, 9963, 11203, 12074, 12944, 13715, 14700, 15407, 16386, 18085, 18834]","[0, 327, 600, 690, 1110, 1485, 1956, 2820, 3368, 3885, 4277, 4704, 5253, 5818, 6349, 6943, 7327, 8370, 8774, 9586, 10678, 10883, 11835, 12926, 13728, 14753, 15541, 15823, 16929, 17628]","[0, 249, 423, 751, 1074, 1330, 1637, 1823, 2323, 2720, 3315, 3885, 4529, 5146, 5834, 6357, 7152, 7829, 8576, 8927, 9022, 10768, 11417, 12210, 12451, 12804, 13356, 13451, 14464, 15092]","[0, 259, 349, 473, 645, 735, 954, 1411, 1699, 2042, 2271, 2653, 3048, 3427, 3607, 3702, 4571, 5300, 5999, 6157, 6488, 7106, 7486, 8151, 8637, 8803, 8988, 9499, 10808, 11111]","[0, 210, 300, 390, 480, 713, 848, 938, 1104, 1259, 1597, 1687, 1982, 2280, 2375, 2470, 2653, 3016, 3211, 3369, 3547, 3767, 4092, 4547, 4788, 4954, 5139, 5234, 5997, 6308]",18834,17628,15092,11111,6308,3178,1512,-1013,-2292,990,2375,30,radiant
7519190619,65,113,47,136,66,"[0, 367, 695, 1355, 1741, 2154, 3095, 3759, 4336, 4917, 5553, 5973, 7249, 7556, 7968, 8907, 9894, 11184, 11892, 12930, 13503, 14853, 16146, 16958, 17945, 18644, 19619, 20767, 21373, 23177]","[0, 257, 541, 791, 1054, 1182, 1545, 2124, 2725, 2992, 3558, 3796, 4198, 4834, 5496, 6057, 7042, 7513, 8285, 8630, 9420, 10255, 11054, 11956, 12819, 13227, 14128, 14678, 14994, 15455]","[0, 205, 366, 647, 948, 1287, 1615, 2027, 2209, 2570, 3050, 3459, 3929, 4644, 5062, 5532, 5924, 6435, 6615, 7178, 7454, 7849, 8160, 8422, 9466, 9633, 10055, 10721, 11143, 12063]","[0, 170, 260, 578, 668, 805, 940, 1286, 1527, 1769, 1938, 2112, 2413, 2810, 3396, 3887, 4595, 4780, 5350, 5828, 6005, 6494, 6724, 7094, 7330, 7497, 9119, 9568, 9800, 11286]","[0, 170, 260, 370, 512, 693, 1174, 1497, 1682, 1968, 2240, 2458, 2724, 3386, 3834, 4240, 4776, 5537, 5667, 6189, 6340, 6925, 7314, 7556, 8024, 8324, 9067, 9435, 9763, 10455]",23177,15455,12063,11286,10455,109,93,96,5,85,"[0, 469, 711, 1275, 1481, 1923, 2123, 2462, 2891, 3159, 3483, 4039, 4646, 5022, 5497, 6006, 7084, 7564, 8026, 8592, 9548, 10315, 11388, 12268, 12872, 13744, 13839, 14595, 15820, 17238]","[0, 609, 1014, 1215, 1632, 1990, 2300, 2845, 3345, 3861, 4237, 4810, 5302, 6828, 7575, 7983, 8611, 9302, 10115, 10914, 11501, 12022, 12622, 13082, 13487, 14403, 14898, 15642, 16025, 16776]","[0, 307, 468, 876, 1052, 1582, 1792, 2065, 2529, 2917, 3119, 3439, 4085, 4584, 5104, 5684, 6009, 6813, 7103, 7756, 8610, 8999, 9369, 9551, 9717, 10069, 10475, 11326, 11502, 11691]","[0, 299, 435, 634, 724, 921, 1100, 1253, 1588, 1678, 1860, 2003, 2349, 2978, 3127, 3779, 4083, 4571, 4856, 5076, 5667, 5810, 6499, 6776, 7102, 7658, 7753, 8159, 8537, 8707]","[0, 299, 389, 885, 1011, 1187, 1326, 1507, 1695, 1913, 2003, 2201, 2474, 2900, 3135, 3320, 3748, 4068, 4494, 4905, 5152, 5471, 6081, 6381, 6560, 6979, 7132, 7545, 7721, 8230]",17238,16776,11691,8707,8230,5939,-1321,372,2579,2225,9794,30,radiant
7519467519,21,25,14,121,51,"[0, 301, 705, 916, 1252, 1578, 2003, 2335, 2977, 3493, 3838, 4013, 4879, 5524, 6118, 6590, 7846, 8222, 9055, 10383, 10778, 11174, 11875, 12959, 13735, 14622, 15414, 16428, 18382, 19368]","[0, 298, 493, 827, 1281, 1661, 2384, 2567, 3026, 3377, 4206, 4296, 5116, 5564, 6051, 6615, 7976, 8691, 9148, 9805, 11217, 11365, 11756, 12613, 13513, 14310, 15169, 15373, 16221, 16522]","[0, 337, 780, 952, 1288, 1680, 2225, 2803, 3279, 3575, 4197, 4301, 4769, 5223, 5575, 6335, 6917, 7584, 8081, 8593, 9050, 9506, 9601, 10193, 10726, 11170, 11712, 12273, 13056, 13152]","[0, 210, 578, 929, 1063, 1318, 1474, 1732, 1867, 2146, 2715, 2805, 3130, 3403, 3634, 3729, 4540, 4770, 5357, 5863, 6321, 6671, 7092, 8328, 8989, 9544, 9907, 10552, 12006, 12177]","[0, 210, 300, 390, 480, 570, 705, 840, 982, 1072, 1481, 1692, 1920, 2205, 2390, 2720, 3373, 3603, 3887, 4156, 4842, 4937, 5032, 5752, 6029, 6306, 6638, 7067, 7619, 7715]",19368,16522,13152,12177,7715,94,69,80,66,5,"[0, 285, 605, 1052, 1246, 1693, 2027, 2352, 2780, 3079, 3369, 3959, 4339, 5244, 5777, 6410, 6623, 7243, 7802, 8198, 8676, 9279, 9796, 10671, 11195, 11675, 12941, 14021, 14502, 15257]","[0, 239, 453, 1023, 1553, 2039, 2275, 2597, 3300, 3805, 4350, 5233, 6016, 6578, 7138, 8108, 8362, 8520, 8816, 9678, 10360, 10455, 10982, 11236, 11460, 12064, 13012, 13715, 13821, 15282]","[0, 234, 488, 690, 900, 1274, 1664, 2319, 2692, 3074, 3164, 3891, 4179, 4739, 5496, 5777, 5916, 6193, 6804, 7706, 8063, 8158, 8876, 9450, 10377, 11045, 12015, 12499, 13219, 13617]","[0, 199, 289, 443, 552, 751, 958, 1143, 1381, 1624, 1844, 2163, 2481, 2913, 3478, 3857, 4019, 4655, 5235, 5935, 6395, 6784, 7373, 7874, 8119, 8479, 9052, 9146, 9627, 10090]","[0, 467, 601, 850, 1076, 1335, 1480, 1697, 2107, 2234, 2756, 3376, 3476, 4103, 4450, 4791, 4885, 5043, 5249, 5700, 6060, 6155, 7049, 7143, 7238, 7567, 7792, 8009, 8928, 9024]",15257,15282,13617,10090,9024,4111,1240,-465,2087,-1309,5664,30,radiant
7519553415,59,76,23,112,20,"[0, 290, 470, 689, 1074, 1586, 2107, 2402, 2791, 3365, 3926, 4456, 4991, 6026, 6844, 7553, 8575, 9614, 10156, 10763, 11306, 11821, 12908, 13444, 13656, 14735, 15221, 16414, 17315, 18626]","[0, 209, 467, 841, 1322, 1611, 1967, 2348, 2607, 3097, 3600, 4240, 4749, 5115, 5882, 6443, 7427, 8508, 9242, 9878, 10201, 10831, 11575, 11892, 12711, 12932, 13767, 14780, 15590, 16410]","[0, 335, 534, 926, 1211, 1374, 2168, 2378, 3006, 3281, 3605, 4027, 4369, 4865, 5374, 6366, 6895, 7623, 7963, 8057, 8718, 9587, 10338, 11015, 11110, 11742, 12017, 12186, 12883, 13729]","[0, 170, 260, 398, 488, 773, 1001, 1164, 1374, 1630, 1950, 2511, 2713, 2979, 3130, 3346, 3922, 4424, 4575, 5085, 5233, 5645, 6093, 6291, 6490, 6920, 7074, 7586, 8035, 8705]","[0, 170, 260, 350, 456, 634, 797, 920, 1169, 1779, 1914, 2182, 2272, 2598, 2891, 3082, 3343, 3878, 4057, 4241, 4337, 4664, 5320, 5574, 5958, 6495, 6673, 7221, 8092, 8419]",18626,16410,13729,8705,8419,53,106,96,51,5,"[0, 219, 500, 1047, 1425, 1829, 2159, 2350, 2630, 3380, 3821, 4146, 5262, 6071, 6729, 7132, 8120, 8215, 9429, 11706, 12541, 13699, 14251, 15915, 16832, 18140, 18788, 19540, 19741, 21327]","[0, 204, 567, 812, 1022, 1301, 1609, 1750, 2673, 2975, 3194, 3581, 3773, 4259, 4649, 4832, 5214, 5309, 6327, 6944, 7240, 8038, 8774, 10096, 10812, 11335, 12023, 12720, 12921, 13614]","[0, 206, 529, 978, 1299, 1874, 2217, 2354, 2813, 3155, 3596, 4300, 4970, 5332, 5579, 5927, 6302, 6397, 7289, 8035, 9123, 9572, 10137, 10775, 11300, 11605, 11910, 12491, 12797, 13686]","[0, 270, 360, 461, 708, 798, 933, 1200, 1416, 1701, 1879, 2075, 2317, 2504, 2835, 3177, 3763, 3858, 4239, 5045, 5449, 5944, 6329, 7210, 7472, 8289, 8656, 9139, 9826, 10665]","[0, 170, 260, 423, 559, 1015, 1443, 1533, 1917, 2142, 2277, 2453, 2543, 2692, 2822, 3170, 3662, 3860, 4540, 4992, 5369, 5773, 6188, 6716, 7047, 7498, 7857, 8137, 8769, 9785]",21327,13614,13686,10665,9785,-2701,2796,43,-1960,-1366,-3188,30,dire
